City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,ridder,50.355,83.5133,18.01,28,1,1.34,KZ,1684557864
342,orsta,62.2029,6.1272,13.1,66,75,0.0,NO,1684557865
343,suva,-18.1416,178.4415,24.71,94,75,2.06,FJ,1684557865
344,sinnar,13.5691,33.5672,33.04,19,0,1.93,SD,1684557865
345,ancud,-41.8697,-73.8203,5.84,84,68,2.25,CL,1684557866
346,carnarvon,-24.8667,113.6333,25.75,31,54,5.8,AU,1684557866
347,rocha,-34.4833,-54.3333,15.45,97,100,1.52,UY,1684557866
348,turpan,42.9333,89.1667,29.28,11,84,3.16,CN,1684557866
349,dadu,26.7329,67.7763,42.03,10,7,4.33,PK,1684557847
350,pitea,65.3172,21.4794,9.05,60,33,3.0,SE,1684557867
351,urumqi,43.801,87.6005,20.53,35,0,2.0,CN,1684557867
352,yeppoon,-23.1333,150.7333,24.88,49,0,3.39,AU,1684557867
353,san juan,-31.5375,-68.5364,14.47,44,88,6.11,AR,1684557691
354,nishinoomote,30.7333,131.0,23.31,78,40,3.6,JP,1684557760
355,bamboo flat,11.7,92.7167,30.92,67,50,5.01,IN,1684557868
356,rurrenabaque,-14.4413,-67.5278,22.52,97,20,0.82,BO,1684557869
357,adra,36.7496,-3.0206,15.82,74,4,0.66,ES,1684557869
358,ulladulla,-35.35,150.4667,15.43,43,67,4.71,AU,1684557869
359,sao miguel do araguaia,-13.275,-50.1628,20.93,53,36,1.51,BR,1684557869
360,fenoarivo atsinanana,-17.3667,49.4167,24.05,79,10,1.75,MG,1684557869
361,pangody,65.85,74.4859,6.75,76,96,5.63,RU,1684557870
362,nova sintra,14.8667,-24.7167,20.41,79,18,5.57,CV,1684557870
363,happy valley-goose bay,53.3168,-60.3315,9.17,61,100,6.69,CA,1684557870
364,gandorhun,7.5,-11.8333,23.96,89,100,0.49,SL,1684557870
